symbol,month,month_start,month_end,monthly_return
NESTLEIND,2023-10,2231.52,2423.48,8.602208360220837
COALINDIA,2023-10,291.9,314.25,7.65673175745119
BAJAJ-AUTO,2023-10,5016.45,5314.05,5.932482133779872
SBILIFE,2023-10,1292.45,1367.85,5.833881388061423
TRENT,2023-10,2059.1,2154.7,4.642805109028212
TRENT,2023-11,2197.65,2787.0,26.817282096785195
HEROMOTOCO,2023-11,3092.45,3819.05,23.495933644844715
BPCL,2023-11,178.45,217.85,22.07901372933595
EICHERMOT,2023-11,3282.25,3896.9,18.72648335745297
APOLLOHOSP,2023-11,4796.55,5528.95,15.269308148565106
BEL,2023-12,147.45,184.2,24.923702950152595
ADANIPORTS,2023-12,827.8,1024.35,23.74365788837883
ADANIENT,2023-12,2362.7,2848.95,20.580268337071995
HINDALCO,2023-12,517.2,614.85,18.88051044083526
ULTRACEMCO,2023-12,9033.85,10503.0,16.262722980788915
ONGC,2024-01,205.35,252.25,22.83905527148771
SHRIRAMFIN,2024-01,2048.85,2466.8,20.399248358835457
BHARTIARTL,2024-01,1013.05,1170.7,15.56191698336707
ADANIPORTS,2024-01,1047.85,1207.65,15.250274371331793
BAJAJ-AUTO,2024-01,6701.1,7667.55,14.422259032099205
TRENT,2024-02,3102.8,3881.8,25.10635554982596
BPCL,2024-02,254.23,301.93,18.762537859418643
M&M,2024-02,1651.15,1932.4,17.03358265451352
SBIN,2024-02,647.65,748.1,15.509920481741691
SUNPHARMA,2024-02,1407.95,1577.95,12.074292410952093
BAJAJ-AUTO,2024-03,8040.05,9148.15,13.782252597931599
BAJFINANCE,2024-03,6571.45,7245.25,10.253444825723397
BHARTIARTL,2024-03,1128.7,1228.6,8.85089040489057
MARUTI,2024-03,11620.95,12600.35,8.427882402041137
HINDALCO,2024-03,519.1,560.25,7.92718166056636
EICHERMOT,2024-04,3946.65,4597.4,16.488667604170615
TRENT,2024-04,3886.8,4409.9,13.458371925491392
HINDALCO,2024-04,568.6,644.4,13.33098839254308
M&M,2024-04,1915.95,2156.35,12.547300294892866
BEL,2024-04,211.1,233.75,10.72951207958314
BEL,2024-05,234.75,295.95,26.0702875399361
M&M,2024-05,2185.15,2506.25,14.69464338832574
HEROMOTOCO,2024-05,4561.5,5119.6,12.235010413241266
ADANIENT,2024-05,3039.6,3411.35,12.230227661534412
BRITANNIA,2024-05,4759.65,5179.8,8.827329740632202
TRENT,2024-06,4662.2,5479.85,17.5378576637639
SHRIRAMFIN,2024-06,2509.15,2911.5,16.035310762608848
WIPRO,2024-06,444.1,514.85,15.931096599864894
TECHM,2024-06,1245.35,1430.35,14.855261573051754
GRASIM,2024-06,2368.8,2670.45,12.734295845997956
ONGC,2024-07,272.95,334.2,22.44000732734933
HDFCLIFE,2024-07,600.75,715.5,19.101123595505616
INFY,2024-07,1590.8,1868.25,17.44091023384461
SBILIFE,2024-07,1501.85,1753.65,16.765988614042694
ITC,2024-07,429.05,495.35,15.452744435380495
TRENT,2024-08,5770.8,7158.75,24.051258057808273
BAJAJ-AUTO,2024-08,9730.5,10891.55,11.932069266738598
BAJAJFINSV,2024-08,1634.8,1783.05,9.068387570344996
SHRIRAMFIN,2024-08,2989.25,3204.5,7.20080287697583
CIPLA,2024-08,1546.2,1654.9,7.030138403828744
M&M,2024-09,2777.0,3094.9,11.44760532949226
BAJAJ-AUTO,2024-09,11126.1,12345.95,10.963859753192946
SHRIRAMFIN,2024-09,3225.25,3576.95,10.904581040229434
HINDALCO,2024-09,683.9,756.2,10.571721011843847
TATASTEEL,2024-09,152.88,168.55,10.249869178440619
SBIN,2024-10,796.95,820.2,2.9173724825898737
HDFCLIFE,2024-10,710.2,720.15,1.4010137989298692
ICICIBANK,2024-10,1274.4,1292.25,1.4006591337099739
WIPRO,2024-10,546.75,551.8,0.9236396890717795
HDFCBANK,2024-10,1726.2,1735.7,0.5503417912177037
TECHM,2024-11,1603.65,1747.45,8.967043931032329
INFY,2024-11,1760.85,1902.25,8.030212681375478
HCLTECH,2024-11,1757.4,1898.4,8.02321611471492
M&M,2024-11,2817.65,3012.95,6.931308004897689
TCS,2024-11,3984.2,4244.6,6.535816475076567
